id,average_rating,num_votes,is_adult
0,5.9,578,False
1,4.6,857,False
2,7.1,134245,False
3,5.4,81,False
4,6.8,231556,False
5,5.9,2468,False
6,7.5,140,False
7,5.3,441,False
8,6.4,2991,False
9,6.3,54597,False
10,6.8,3748,False
11,7.8,275,False
12,4.5,3574,False
13,6.6,785,False
14,6.2,27257,False
15,6.8,3940,False
16,5.3,401,False
17,6.8,205,False
18,5.2,5737,False
19,5.1,259,False
20,5.2,99,False
21,3.8,308,False
22,5.2,1780,False
23,4.4,4522,False
24,5.5,124550,False
25,4.8,524,False
26,6.3,2328,False
27,5.1,45,False
28,5.9,889,False
29,7.6,1051,False
30,7.6,5536,False
31,6.2,1002,False
32,7.5,42,False
33,6.7,39,False
34,4.7,204,False
35,7.3,162,False
36,5.1,4930,False
37,6.3,34116,False
38,8.3,32641,False
39,7.1,179,False
40,6.3,7634,False
41,5.6,146,False
42,6.6,126714,False
43,6.4,183111,False
44,6.7,3023,False
45,6.5,2956,False
46,5.8,9476,False
47,3.3,828,False
48,5.4,2300,False
49,6.9,23678,False
50,7.4,12438,False
51,6.2,19,False
52,4.4,7569,False
53,7.3,40917,False
54,5.8,72359,False
55,6.2,950,False
56,3.8,1510,False
57,5.8,12715,False
58,5.9,92,False
59,6.3,955,False
60,6.1,45754,False
61,6.2,88615,False
62,7.8,2299,False
63,5.9,6112,False
64,8.4,350092,False
65,7.2,40,False
66,5.5,1576,False
67,2.6,24,False
68,6.1,95210,False
69,7.2,923,False
70,3.2,56077,False
71,6.7,9,False
72,7.1,367,False
73,6.2,229,False
74,7.3,394,False
75,3.9,934,False
76,5.9,2758,False
77,6.7,9635,False
78,6.2,21,False
79,6.2,9674,False
80,7.1,19129,False
81,6.8,330232,False
82,6.5,44,False
83,7.6,317120,False
84,1.8,2518,False
85,5.9,3714,False
86,6.2,19006,False
87,6.1,143519,False
88,5.6,11801,False
89,4.2,165,False
90,6.0,5021,False
91,6.8,453,False
92,6.1,5566,False
93,5.8,378,False
94,7.0,65,False
95,3.3,491,False
96,6.0,1444,False
97,4.7,867,False
98,6.5,188,False
99,5.4,3102,False
100,5.6,45663,False
101,6.7,800,False
102,8.1,405,False
103,6.6,777,False
104,7.4,52771,False
105,5.8,6615,False
106,5.8,301,False
107,5.4,772,False
108,5.3,240,False
109,5.8,17221,False
110,5.4,5405,False
111,5.3,9322,False
112,5.9,81668,False
113,5.3,5030,False
114,8.3,765954,False
115,5.8,1631,False
116,3.8,446,False
117,5.9,12660,False
118,8.1,64,False
119,7.0,611,False
120,6.5,10886,False
121,6.9,17,False
122,5.7,139,False
123,3.0,3981,False
124,6.8,14226,False
125,6.9,62207,False
126,4.8,5017,False
127,6.4,30,False
128,6.0,31,False
129,7.6,595,False
130,6.2,1495,False
131,5.0,44278,False
132,3.2,247,False
133,7.1,681,False
134,6.0,230,False
135,7.1,419,False
136,5.3,7022,False
137,8.1,3255,False
138,7.0,378,False
139,6.8,1421,False
140,8.7,245,False
141,6.5,21230,False
142,6.3,207,False
143,6.5,128,False
144,6.0,164,False
145,7.5,82222,False
146,7.0,67531,False
147,7.3,1084,False
148,6.4,89,False
149,5.4,818,False
150,6.3,57443,False
151,6.7,2051,False
152,6.4,1321,False
153,7.3,1100,False
154,5.7,3915,False
155,5.2,1944,False
156,8.0,2616,False
157,6.4,7352,False
158,5.3,968,False
159,3.1,140,False
160,7.1,369,False
161,7.9,3531,False
162,8.3,223433,False
163,7.0,135239,False
164,7.6,106880,False
165,6.4,621,False
166,5.8,227,False
167,5.8,315,False
168,6.1,135,False
169,7.6,5561,False
170,6.0,3670,False
171,6.3,237,False
172,7.9,64,False
173,5.9,40824,False
174,5.5,141,False
175,5.2,50,False
176,6.1,1200,False
177,5.5,14394,False
178,6.7,354,False
179,7.4,200886,False
180,8.1,74319,False
181,6.7,5914,False
182,5.1,312,False
183,4.2,41735,False
184,6.5,43,False
185,7.4,385,False
186,5.5,189,False
187,3.9,1704,False
188,5.0,377,False
189,5.2,75,False
190,6.5,115,False
191,7.7,10729,False
192,7.1,732,False
193,6.2,5099,False
194,7.1,1246,False
195,6.1,13,False
196,5.9,321,False
197,6.8,16339,False
198,6.0,298,False
199,5.3,256,False
200,7.0,174153,False
201,6.4,59,False
202,7.8,310082,False
203,8.1,35,False
204,5.4,1876,False
205,6.6,3033,False
206,7.6,829,False
207,6.3,235,False
208,5.2,390,False
209,7.3,106547,False
210,6.5,66756,False
211,4.2,5705,False
212,5.7,10694,False
213,5.3,11170,False
214,6.4,1323,False
215,5.8,857,False
216,7.1,181,False
217,6.2,138,False
218,5.3,127,False
219,5.9,57,False
220,4.4,302,False
221,6.2,32649,False
222,6.6,48859,False
223,7.3,12,False
224,3.3,100,False
225,6.2,4977,False
226,1.5,290,False
227,6.7,132,False
228,9.0,14322,False
229,8.1,40,False
230,5.3,40835,False
231,4.6,369,False
232,5.7,7588,False
233,5.3,1500,False
234,4.3,90,False
235,5.0,20512,False
236,5.7,22473,False
237,8.2,92,False
238,6.1,4414,False
239,4.8,11286,False
240,8.2,187,False
241,7.3,9,False
242,6.3,4051,False
243,8.7,37,False
244,7.3,641,False
245,6.9,93,False
246,7.7,8380,False
247,2.8,610,False
248,7.0,1470,False
249,7.6,4226,False
250,6.6,150,False
251,5.0,2200,False
252,6.6,9603,False
253,5.3,4048,False
254,4.4,1737,False
255,7.5,6742,False
256,6.4,12863,False
257,6.9,929,False
258,7.0,11658,False
259,7.9,17571,False
260,8.4,327,False
261,5.0,227,False
262,7.5,923,False
263,7.1,8343,False
264,6.2,52,False
265,4.4,102,False
266,6.2,221,False
267,5.6,330,False
268,5.3,1385,False
269,6.3,321,False
270,6.2,105,False
271,6.3,15333,False
272,6.6,558,False
273,7.1,37,False
274,5.2,24,False
275,7.6,5923,False
276,7.4,4019,False
277,7.8,26914,False
278,7.3,21666,False
279,7.7,19418,False
280,3.9,407,False
281,2.6,2995,False
282,6.2,945,False
283,4.6,1212,False
284,6.7,330,False
285,3.7,32,False
286,6.1,2273,False
287,4.4,610,False
288,3.8,155,False
289,5.8,3106,False
290,6.8,36781,False
291,7.5,438,False
292,5.1,572,False
293,6.8,563,False
294,3.9,1156,False
295,5.4,164,False
296,5.5,31596,False
297,6.5,21994,False
298,5.1,2448,False
299,6.5,3227,False
300,9.2,11,False
301,6.3,221,False
302,6.8,918,False
303,6.5,8369,False
304,6.8,374,False
305,6.4,78268,False
306,5.1,899,False
307,7.9,5277,False
308,5.9,934,False
309,6.5,4961,False
310,5.7,541,False
311,6.3,2070,False
312,6.7,332,False
313,6.9,21819,False
314,7.4,563,False
315,5.2,3887,False
316,5.3,269,False
317,7.5,7249,False
318,5.9,3761,False
319,5.8,1702,False
320,6.2,72166,False
321,4.6,5,False
322,8.3,1079852,False
323,7.3,531,False
324,7.4,18410,False
325,5.2,240,False
326,5.9,3176,False
327,5.0,16389,False
328,8.5,1044729,False
329,7.0,39174,False
330,7.2,19906,False
331,7.3,5938,False
332,7.6,501488,False
333,5.7,6348,False
334,7.1,191,False
335,6.7,189,False
336,7.8,49142,False
337,7.0,72,False
338,2.9,9378,False
339,6.8,30,False
340,6.9,49278,False
341,6.5,23910,False
342,6.0,1038,False
343,5.6,4114,False
344,7.3,1004,False
345,5.8,4700,False
346,2.8,1006,False
347,6.8,16,False
348,5.8,3246,False
349,5.5,1862,False
350,3.6,91,False
351,3.1,212,False
352,6.6,533,False
353,5.6,208,False
354,6.3,916,False
355,6.3,65,False
356,6.9,2532,False
357,8.2,49658,False
358,8.2,74523,False
359,7.6,2940,False
360,6.8,133,False
361,6.4,2622,False
362,6.1,4375,False
363,8.0,5029,False
364,5.0,30,False
365,7.7,12103,False
366,5.6,22694,False
367,6.4,81585,False
368,7.1,1027,False
369,6.7,276388,False
370,6.3,204497,False
371,7.0,16,False
372,8.5,6,False
373,7.0,2699,False
374,8.6,853,False
375,7.7,9684,False
376,6.5,3781,False
377,5.1,4276,False
378,5.8,612,False
379,8.0,10345,False
380,6.5,1766,False
381,5.6,685,False
382,8.2,10069,False
383,6.1,38447,False
384,5.2,467,False
385,5.0,25085,False
386,7.9,1356,False
387,7.0,320218,False
388,7.2,2960,False
389,7.8,4529,False
390,5.2,610,False
391,2.7,277,False
392,6.5,954,False
393,6.6,887,False
394,6.7,332,False
395,7.4,4309,False
396,7.3,1649,False
397,5.2,54123,False
398,6.3,44845,False
399,7.3,7019,False
400,7.5,18552,False
401,6.5,176,False
402,4.7,1482,False
403,5.2,985,False
404,5.6,3827,False
