id,type,genres,average_rating,num_votes,is_adult
134,movie,"Comedy,Drama",6.0,230,False
135,movie,"Biography,Documentary,Sport",7.1,419,False
136,movie,"Crime,Drama,Thriller",5.3,7022,False
137,tvSeries,"Comedy,Fantasy,Horror",8.1,3255,False
138,movie,Documentary,7.0,378,False
139,movie,"Biography,Documentary,Sport",6.8,1421,False
140,movie,Documentary,8.7,245,False
141,movie,"Drama,Romance",6.5,21230,False
142,tvSeries,Talk-Show,6.3,207,False
143,movie,"Drama,Romance",6.5,128,False
144,tvSeries,Romance,6.0,164,False
145,movie,"Adventure,Drama,Family",7.5,82222,False
146,movie,"Action,Crime,Drama",7.0,67531,False
147,movie,"Crime,Documentary,History",7.3,1084,False
148,movie,Documentary,6.4,89,False
149,movie,"Drama,Romance",5.4,818,False
150,movie,"Comedy,Music,Romance",6.3,57443,False
151,movie,"Drama,History",6.7,2051,False
152,movie,Thriller,6.4,1321,False
153,tvMiniSeries,"Crime,Documentary",7.3,1100,False
154,movie,"Drama,Romance",5.7,3915,False
155,movie,"Drama,Romance",5.2,1944,False
156,movie,Documentary,8.0,2616,False
157,tvMovie,"Comedy,Drama,Family",6.4,7352,False
158,movie,Comedy,5.3,968,False
159,movie,Thriller,3.1,140,False
160,movie,Drama,7.1,369,False
161,movie,"Documentary,Drama",7.9,3531,False
162,movie,Drama,8.3,223433,False
163,movie,"Comedy,Drama",7.0,135239,False
164,movie,"Drama,Romance",7.6,106880,False
165,movie,"Crime,Drama,Thriller",6.4,621,False
166,movie,Drama,5.8,227,False
167,tvMovie,"Crime,Drama,Thriller",5.8,315,False
168,tvMovie,"Family,Fantasy,Musical",6.1,135,False
169,movie,"Crime,Drama",7.6,5561,False
170,movie,"Biography,Drama,History",6.0,3670,False
171,short,"Documentary,Short",6.3,237,False
172,tvSeries,Drama,7.9,64,False
173,movie,"Comedy,Drama",5.9,40824,False
174,tvSpecial,"Animation,Family",5.5,141,False
175,movie,"Comedy,Drama",5.2,50,False
176,tvMovie,"Family,Romance",6.1,1200,False
177,tvSpecial,"Comedy,Music,Musical",5.5,14394,False
178,movie,"Comedy,Romance",6.7,354,False
179,movie,"Drama,Romance",7.4,200886,False
180,movie,"Action,Crime,Drama",8.1,74319,False
181,movie,"Adventure,Animation,Family",6.7,5914,False
182,movie,"Adventure,Comedy,Family",5.1,312,False
183,movie,"Adventure,Family,Fantasy",4.2,41735,False
184,tvEpisode,"Comedy,Talk-Show",6.5,43,False
185,tvSeries,Documentary,7.4,385,False
186,movie,Drama,5.5,189,False
187,movie,"Horror,Thriller",3.9,1704,False
188,movie,"Comedy,Crime,Drama",5.0,377,False
189,movie,"Action,Thriller",5.2,75,False
190,movie,Drama,6.5,115,False
191,movie,"Action,Crime,Drama",7.7,10729,False
192,movie,"Drama,Thriller",7.1,732,False
193,movie,"Drama,Thriller",6.2,5099,False
194,movie,Drama,7.1,1246,False
195,movie,Drama,6.1,13,False
196,movie,"Comedy,Drama,Sci-Fi",5.9,321,False
197,movie,"Crime,Documentary",6.8,16339,False
198,movie,"Comedy,Horror",6.0,298,False
199,tvShort,"Adventure,Animation,Comedy",5.3,256,False
200,movie,"Comedy,Drama,Romance",7.0,174153,False
201,tvEpisode,Comedy,6.4,59,False
202,movie,"Comedy,Drama,Fantasy",7.8,310082,False
203,short,"Comedy,Drama,Family",8.1,35,False
204,movie,"Biography,Drama,Romance",5.4,1876,False
205,movie,"Mystery,Thriller",6.6,3033,False
206,tvSeries,"Music,Romance",7.6,829,False
207,short,"Drama,Music,Short",6.3,235,False
208,movie,Drama,5.2,390,False
209,movie,"Drama,Fantasy,History",7.3,106547,False
210,movie,"Action,Adventure,Thriller",6.5,66756,False
211,movie,"Comedy,Romance,Sci-Fi",4.2,5705,False
212,movie,"Action,Adventure,Crime",5.7,10694,False
213,movie,"Action,Crime",5.3,11170,False
214,tvSeries,"Crime,Drama,Mystery",6.4,1323,False
215,tvSpecial,Comedy,5.8,857,False
216,tvMovie,"Crime,Drama",7.1,181,False
217,movie,Documentary,6.2,138,False
218,tvSpecial,Comedy,5.3,127,False
219,movie,Drama,5.9,57,False
220,tvSpecial,Comedy,4.4,302,False
221,movie,"Drama,Romance",6.2,32649,False
222,movie,"Action,Adventure,Biography",6.6,48859,False
223,tvEpisode,"Crime,Documentary",7.3,12,False
224,movie,"Drama,Family,Horror",3.3,100,False
225,movie,"Drama,Family,Sci-Fi",6.2,4977,False
226,movie,"Drama,Sci-Fi,Thriller",1.5,290,False
227,tvSpecial,Comedy,6.7,132,False
228,tvMiniSeries,Documentary,9.0,14322,False
229,tvEpisode,Documentary,8.1,40,False
230,movie,"Drama,Romance",5.3,40835,False
231,short,"Documentary,Short",4.6,369,False
232,movie,Documentary,5.7,7588,False
233,movie,Documentary,5.3,1500,False
234,short,"Documentary,Short",4.3,90,False
235,movie,"Drama,Romance",5.0,20512,False
236,movie,"Drama,Thriller",5.7,22473,False
237,tvEpisode,"Comedy,Mystery,Sci-Fi",8.2,92,False
238,movie,"Drama,Mystery",6.1,4414,False
239,movie,"Action,Adventure,Horror",4.8,11286,False
240,tvEpisode,"Comedy,Drama,Romance",8.2,187,False
241,tvSeries,Drama,7.3,9,False
242,tvMovie,"Crime,Drama,Mystery",6.3,4051,False
243,tvSeries,"Crime,Drama,Romance",8.7,37,False
244,tvMiniSeries,Documentary,7.3,641,False
245,tvSeries,Crime,6.9,93,False
246,movie,"Action,Crime,Drama",7.7,8380,False
247,movie,"Drama,Horror,Mystery",2.8,610,False
248,movie,"Drama,Romance",7.0,1470,False
249,movie,Documentary,7.6,4226,False
250,movie,Drama,6.6,150,False
251,movie,"Comedy,Drama,Romance",5.0,2200,False
252,movie,"Drama,Romance,Thriller",6.6,9603,False
